Ticker,Expiration,DTE,RawCalls,RawPuts,UsableCalls,UsablePuts,LongCallsBuilt,LongPutsBuilt,LongOptionsBuilt,SpreadsBuilt,TradesBuilt,Status
SPY,2026-07-02,1,179,174,174,165,5,5,10,10,20,OK
SPY,2026-07-06,5,99,102,99,98,5,5,10,10,20,OK
SPY,2026-07-07,6,87,87,87,86,5,5,10,10,20,OK
SPY,2026-07-08,7,83,87,83,84,5,5,10,10,20,OK
QQQ,2026-07-02,1,164,147,160,140,5,5,10,10,20,OK
QQQ,2026-07-06,5,105,106,105,103,5,5,10,10,20,OK
QQQ,2026-07-07,6,92,83,92,82,5,5,10,10,20,OK
QQQ,2026-07-08,7,90,86,90,85,5,5,10,10,20,OK
IWM,2026-07-02,1,91,87,83,80,5,5,10,10,20,OK
IWM,2026-07-06,5,56,59,54,58,5,5,10,10,20,OK
IWM,2026-07-07,6,42,50,42,49,5,5,10,10,20,OK
IWM,2026-07-08,7,39,45,38,45,5,5,10,10,20,OK
DIA,2026-07-02,1,87,88,85,88,5,5,10,10,20,OK
TQQQ,2026-07-02,1,70,65,62,56,5,5,10,10,20,OK
SQQQ,2026-07-02,1,47,45,36,37,5,5,10,10,20,OK
AAPL,2026-07-02,1,63,59,50,44,4,4,8,10,18,OK
AAPL,2026-07-06,5,43,29,43,29,5,5,10,10,20,OK
AAPL,2026-07-08,7,37,26,37,26,5,5,10,10,20,OK
MSFT,2026-07-02,1,79,71,66,63,5,5,10,10,20,OK
MSFT,2026-07-06,5,51,41,51,41,5,5,10,10,20,OK
MSFT,2026-07-08,7,46,42,46,42,5,5,10,10,20,OK
NVDA,2026-07-02,1,84,58,37,35,3,3,6,8,14,OK
NVDA,2026-07-06,5,41,36,35,30,5,5,10,10,20,OK
NVDA,2026-07-08,7,40,36,34,32,5,5,10,10,20,OK
TSLA,2026-07-02,1,149,108,84,71,5,5,10,10,20,OK
TSLA,2026-07-06,5,100,74,71,62,5,5,10,10,20,OK
TSLA,2026-07-08,7,96,61,70,54,5,5,10,10,20,OK
AMZN,2026-07-02,1,62,51,43,41,4,5,9,10,19,OK
AMZN,2026-07-06,5,31,27,29,27,5,5,10,10,20,OK
AMZN,2026-07-08,7,30,24,28,24,5,5,10,10,20,OK
META,2026-07-02,1,175,131,110,92,5,5,10,10,20,OK
META,2026-07-06,5,74,56,74,56,5,5,10,10,20,OK
META,2026-07-08,7,57,52,57,52,5,5,10,10,20,OK
GOOGL,2026-07-02,1,96,78,64,54,5,5,10,10,20,OK
GOOGL,2026-07-06,5,41,32,41,32,5,5,10,10,20,OK
GOOGL,2026-07-08,7,37,32,37,32,5,5,10,10,20,OK
AMD,2026-07-02,1,238,158,125,89,5,5,10,10,20,OK
PLTR,2026-07-02,1,94,79,61,62,5,5,10,10,20,OK
AVGO,2026-07-02,1,114,99,70,67,5,5,10,10,20,OK
AVGO,2026-07-06,5,64,51,50,51,5,5,10,10,20,OK
AVGO,2026-07-08,7,46,45,45,45,5,5,10,10,20,OK
MU,2026-07-02,1,360,324,129,135,5,5,10,10,20,OK
INTC,2026-07-02,1,87,79,68,66,5,5,10,10,20,OK
ARM,2026-07-02,1,155,133,72,75,5,5,10,10,20,OK
SMCI,2026-07-02,1,65,64,30,30,5,5,10,10,20,OK
MSTR,2026-07-02,1,137,125,56,56,5,5,10,10,20,OK
COIN,2026-07-02,1,82,81,50,52,5,5,10,10,20,OK
SOFI,2026-07-02,1,32,33,20,20,4,5,9,4,13,OK
MARA,2026-07-02,1,39,37,16,16,5,5,10,6,16,OK
RIOT,2026-07-02,1,46,40,27,27,5,5,10,10,20,OK
NFLX,2026-07-02,1,51,48,34,37,5,5,10,6,16,OK
ADBE,2026-07-02,1,58,55,37,36,5,5,10,10,20,OK
CRM,2026-07-02,1,62,50,43,44,4,4,8,8,16,OK
ORCL,2026-07-02,1,82,75,35,39,5,5,10,10,20,OK
UBER,2026-07-02,1,33,33,29,31,5,4,9,6,15,OK
SHOP,2026-07-02,1,57,46,51,41,5,5,10,10,20,OK
ROKU,2026-07-02,1,53,41,48,37,5,5,10,10,20,OK
JPM,2026-07-02,1,43,48,40,36,5,5,10,8,18,OK
BAC,2026-07-02,1,33,34,29,33,2,5,7,2,9,OK
WFC,2026-07-02,1,30,27,28,27,5,4,9,10,19,OK
C,2026-07-02,1,50,55,49,50,5,5,10,10,20,OK
GS,2026-07-02,1,102,125,99,106,5,5,10,10,20,OK
XOM,2026-07-02,1,44,38,38,36,5,5,10,10,20,OK
CVX,2026-07-02,1,36,28,27,26,4,3,7,2,9,OK
OXY,2026-07-02,1,33,37,22,27,5,5,10,10,20,OK
UNH,2026-07-02,1,71,71,55,50,5,5,10,10,20,OK
LLY,2026-07-02,1,102,132,98,102,5,5,10,10,20,OK
PFE,2026-07-02,1,29,25,23,21,4,5,9,1,10,OK
MRNA,2026-07-02,1,51,47,36,26,5,4,9,10,19,OK
WMT,2026-07-02,1,47,42,40,40,5,3,8,8,16,OK
COST,2026-07-02,1,101,103,88,92,5,5,10,10,20,OK
HD,2026-07-02,1,56,44,52,38,5,5,10,10,20,OK
DIS,2026-07-02,1,31,28,28,25,4,4,8,3,11,OK
NKE,2026-07-02,1,43,44,37,40,5,5,10,10,20,OK
F,2026-07-02,1,40,37,16,16,2,2,4,0,4,OK
